drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1607273,EFO_0005854,allergic rhinitis,4.0,CETIRIZINE HYDROCHLORIDE
CHEMBL1201577,EFO_0000365,colorectal adenocarcinoma,4.0,CETUXIMAB
CHEMBL1201577,EFO_0000503,gastric adenocarcinoma,3.0,CETUXIMAB
CHEMBL1201577,EFO_0000181,head and neck squamous cell carcinoma,4.0,CETUXIMAB
CHEMBL1201577,EFO_0000616,neoplasm,4.0,CETUXIMAB
CHEMBL1201577,EFO_0003060,non-small cell lung carcinoma,3.0,CETUXIMAB
CHEMBL1201577,EFO_0000707,squamous cell carcinoma,4.0,CETUXIMAB
CHEMBL1201577,EFO_0004284,upper aerodigestive tract neoplasm,4.0,CETUXIMAB
CHEMBL842,EFO_0000537,hypertension,4.0,CHLOROTHIAZIDE
CHEMBL842,EFO_0004255,nephrotic syndrome,4.0,CHLOROTHIAZIDE
CHEMBL71,EFO_0005407,psychosis,4.0,CHLORPROMAZINE
CHEMBL1055,EFO_0000537,hypertension,4.0,CHLORTHALIDONE
CHEMBL1042,EFO_0003144,heart failure,3.0,CHOLECALCIFEROL
CHEMBL1042,EFO_0003047,hepatitis C virus infection,3.0,CHOLECALCIFEROL
CHEMBL30,EFO_0003948,gastroesophageal reflux disease,4.0,CIMETIDINE
CHEMBL1237132,EFO_0000537,hypertension,3.0,
CHEMBL70418,EFO_0005230,anxiety,4.0,
CHEMBL1159650,EFO_0000676,psoriasis,4.0,CLOBETASOL PROPIONATE
CHEMBL1750,EFO_0000565,leukemia,3.0,
CHEMBL134,EFO_0003888,attention deficit hyperactivity disorder,3.0,
CHEMBL134,EFO_0000537,hypertension,4.0,
CHEMBL134,EFO_0003843,pain,3.0,
CHEMBL1083385,EFO_0005672,acute coronary syndrome,4.0,CLOPIDOGREL BISULFATE
CHEMBL1083385,EFO_0000612,myocardial infarction,4.0,CLOPIDOGREL BISULFATE
CHEMBL1083385,EFO_0004265,peripheral arterial disease,4.0,CLOPIDOGREL BISULFATE
CHEMBL6067642,EFO_0003843,pain,4.0,
CHEMBL4297091,EFO_0003843,pain,4.0,
CHEMBL2108709,HP_0200042,Skin ulcer,4.0,
CHEMBL1201108,HP_0002902,Hyponatremia,3.0,CONIVAPTAN HYDROCHLORIDE
CHEMBL1201610,EFO_0000685,rheumatoid arthritis,3.0,CORTICOTROPIN
CHEMBL1650,EFO_0005752,eye inflammation,4.0,CORTISONE ACETATE
CHEMBL601719,EFO_0003060,non-small cell lung carcinoma,4.0,CRIZOTINIB
CHEMBL160,EFO_0000274,atopic eczema,3.0,CYCLOSPORINE
CHEMBL160,EFO_0000574,lymphoma,3.0,CYCLOSPORINE
CHEMBL160,HP_0001915,Aplastic anemia,3.0,CYCLOSPORINE
CHEMBL803,EFO_0000220,acute lymphoblastic leukemia,4.0,
CHEMBL803,EFO_0000222,acute myeloid leukemia,4.0,
CHEMBL1615369,EFO_0000275,atrial fibrillation,4.0,DABIGATRAN ETEXILATE MESYLATE
CHEMBL1201460,EFO_0000712,stroke,3.0,DALTEPARIN SODIUM
CHEMBL1201566,EFO_0004272,anemia (phenotype),4.0,DARBEPOETIN ALFA
CHEMBL1201566,EFO_0000403,diffuse large B-cell lymphoma,3.0,DARBEPOETIN ALFA
CHEMBL1201566,EFO_0000198,myelodysplastic syndrome,3.0,DARBEPOETIN ALFA
CHEMBL1421,EFO_0000565,leukemia,3.0,DASATINIB ANHYDROUS
CHEMBL1201129,EFO_0000222,acute myeloid leukemia,3.0,DECITABINE
CHEMBL1201129,EFO_0000198,myelodysplastic syndrome,4.0,DECITABINE
CHEMBL1237023,EFO_0000305,breast carcinoma,4.0,DENOSUMAB
CHEMBL1237023,EFO_0003882,osteoporosis,4.0,DENOSUMAB
CHEMBL1237023,EFO_0003854,postmenopausal osteoporosis,4.0,DENOSUMAB
CHEMBL1172,EFO_0005854,allergic rhinitis,4.0,DESLORATADINE
CHEMBL1172,EFO_0005531,urticaria,4.0,DESLORATADINE
CHEMBL384467,EFO_0005752,eye inflammation,4.0,DEXAMETHASONE
CHEMBL384467,EFO_0001378,multiple myeloma,3.0,DEXAMETHASONE
CHEMBL384467,EFO_0003843,pain,3.0,DEXAMETHASONE
CHEMBL384467,EFO_0001663,prostate carcinoma,3.0,DEXAMETHASONE
CHEMBL3544971,EFO_0003888,attention deficit hyperactivity disorder,4.0,DEXTROAMPHETAMINE SULFATE
CHEMBL3989844,EFO_0003888,attention deficit hyperactivity disorder,4.0,DEXTROAMPHETAMINE SACCHARATE
CHEMBL1034,EFO_0002496,actinic keratosis,3.0,
CHEMBL139,EFO_0005752,eye inflammation,4.0,
CHEMBL1034,EFO_0002970,muscular disease,3.0,
CHEMBL139,EFO_0004616,"osteoarthritis, knee",3.0,
CHEMBL1034,EFO_0003843,pain,4.0,
CHEMBL1200804,EFO_0003843,pain,4.0,
CHEMBL3545252,EFO_0000305,breast carcinoma,4.0,
CHEMBL3545252,EFO_0000313,carcinoma,3.0,
CHEMBL3545252,EFO_0000178,gastric carcinoma,4.0,
CHEMBL3545252,EFO_0004252,nasopharyngeal neoplasm,3.0,
CHEMBL3545252,EFO_0000616,neoplasm,4.0,
CHEMBL3545252,EFO_0003060,non-small cell lung carcinoma,4.0,
CHEMBL3545252,EFO_0000673,prostate adenocarcinoma,4.0,
CHEMBL3545252,EFO_0001663,prostate carcinoma,4.0,
CHEMBL3545252,EFO_0000708,squamous cell lung carcinoma,3.0,
CHEMBL3545252,EFO_0004284,upper aerodigestive tract neoplasm,4.0,
CHEMBL359744,EFO_0000305,breast carcinoma,4.0,DOXORUBICIN HYDROCHLORIDE
CHEMBL359744,EFO_0000574,lymphoma,3.0,DOXORUBICIN HYDROCHLORIDE
CHEMBL359744,EFO_0000691,sarcoma,4.0,DOXORUBICIN HYDROCHLORIDE
CHEMBL1200969,EFO_0001663,prostate carcinoma,4.0,
CHEMBL1201575,EFO_0000676,psoriasis,4.0,
CHEMBL2159122,EFO_0000555,irritable bowel syndrome,4.0,ELUXADOLINE
CHEMBL1200659,EFO_0000537,hypertension,4.0,ENALAPRIL MALEATE
CHEMBL1201476,EFO_0004286,venous thromboembolism,4.0,ENOXAPARIN SODIUM
CHEMBL1082407,EFO_0000673,prostate adenocarcinoma,4.0,ENZALUTAMIDE
CHEMBL1095097,EFO_0000318,cardiomyopathy,3.0,EPLERENONE
CHEMBL1095097,EFO_0003884,chronic kidney disease,3.0,EPLERENONE
CHEMBL1095097,EFO_0003144,heart failure,4.0,EPLERENONE
CHEMBL1095097,EFO_0000537,hypertension,4.0,EPLERENONE
CHEMBL1201565,EFO_0004272,anemia (phenotype),4.0,EPOETIN ALFA
CHEMBL1201565,EFO_0003884,chronic kidney disease,4.0,EPOETIN ALFA
CHEMBL1683544,EFO_0000305,breast carcinoma,4.0,
CHEMBL1079742,EFO_0003060,non-small cell lung carcinoma,4.0,ERLOTINIB HYDROCHLORIDE
CHEMBL87992,EFO_0000474,epilepsy,4.0,
CHEMBL87992,EFO_0004263,partial epilepsy,3.0,
CHEMBL5314366,EFO_0003948,gastroesophageal reflux disease,4.0,
CHEMBL135,EFO_0000305,breast carcinoma,4.0,ESTRADIOL
CHEMBL1511,EFO_0000545,infertility,3.0,ESTRADIOL VALERATE
CHEMBL1522,EFO_0004698,insomnia,4.0,
CHEMBL1201572,EFO_0003898,ankylosing spondylitis,4.0,ETANERCEPT
